|details|name|viable|germ_code|mod1|mod2|mod3|mod4|special_info
0|Sow at 10C.|Abelmoschus manihot||K|||||
1|Sow @ 4C for 3 weeks, then place at 20C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Abies koreana \'Silberlocke\'||J|7||||
2|Sow @ 20C. Seed germinates within 3 months Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Abronia nana||A|6|7|||
3|Sow @ 20C. Seed germinates within 3 months Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acacia podalyriifolia||A|6|7|||
4|Sow @ 20C. Seed germinates within 3 months Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acacia species||A|6|7|||
5|Sow @ 20C. Seed germinates within 3 months Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.   * immerse in boiling water for 1 minute, then soak x 2 days in cool water|Acacia williamsonii||A|6|7|||*
6|Sow @ 20C. Seed germinates within 3 months|Acaena adscendens||A|||||
7|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena buchananii||E|||||
8|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena caesiglauca||E|||||
9|Sow at 10C.     * sow in acid medium; prone to damping off|Acaena glaucophylla||K|||||*
10|Sow @ 20C. Seed germinates within 3 months|Acaena hieronymi||A|||||
11|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena magellanica||E|||||
12|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena microphylla||E|||||
13|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena microphylla \'Kupferteppich\'||E|||||
14|Sow @ 20C. Seed germinates within 3 months|Acaena myriophylla||A|||||
15|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena novae-zelandiae||E|||||
16|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena pinnatifida||E|||||
17|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. Requires darkness. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acaena saccaticupula||E|2|7|||
18|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. Requires darkness. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acaena saccaticupula \'Blue Haze\'||E|2|7|||
19|Sow @ 20C. Seed germinates within 3 months|Acaena sericea||A|||||
20|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle.|Acaena williamsonii||E|||||
21|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again.     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon all species||B|||||*
22|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon araxanum||A|||||*
23|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon armenum||A|||||*
24|Sow @ 20C. Seed germinates within 3 months|Acantholimon avenaceum||A|||||
25|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon bracteatum||A|||||*
26|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon bracteatum var. capitatum||A|||||*
27|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon caryophyllaceum||A|||||*
28|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again.     * Rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon compactum|!|B|||||*
29|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon glumaceum||A|||||*
30|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again.     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon hohenackeri|!|B|||||*
31|Sow @ 20C. Seed germinates within 3 months     * genus rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon karelinii||A|||||*
32|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Acantholimon litvinovii||L|||||
33|Sow @ 20C. Seed germinates within 3 months     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon reflexifolium||A|||||*
34|Sow @ 20C. Seed germinates within 3 months     * genus rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon saxifragiforme||A|||||*
35|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again.     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon sp.|!|B|||||*
36|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience. Try B.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.     * rarely sets seed, short viability, ungerminated seed should be discarded after 4 weeks|Acantholimon ulicinum|!|?|||||*
37|* 20C x 6 months then 4C x 3 months|Acanthopanax sessiliflorus|||||||*
38|* 20C x 6 months then 4C x 3 months|Acanthopanax sessiliflorus var. parviceps|||||||*
39|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acanthus hungaricus||E|7||||
40|Sow at 4C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acanthus mollis||F|7||||
41|Sow at 4C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acanthus mollis Latifolius Group||F|7||||
42|Sow at 4C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acanthus spinosus||F|7||||
43|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer amurensis||H|7||||
44|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer argutum||L|7||||
45|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer barbinerve||G|||||
46|Sow @ 4C for 3 weeks, then place at 20C.|Acer cappadocicum ssp. divergens||J|||||
47|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer carpinifolium||H|7||||
48|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow at 4C for 3 months, then place @ 20C for 3 months. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer caudatum|!|G|7||||
49|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow at 4C for 3 months, then place @ 20C for 3 months. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer caudatum subsp. ukurunduense|!|G|7||||
50|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Acer davidii||L|||||
51|Sow at 4C for 3 months, then place @ 20C for 3 months. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer ginnala||G|7||||
52|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer glabrum||H|7||||
53|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.|Acer glabrum var. douglasii||H|7||||
54|Sow at 4C for 3 months, then place @ 20C for 3 months. Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.   * 5% germination, soak 3 weeks in water to remove outer seed coat or pry it off, then slice off small portion of inner seed coat with razor|Acer griseum||G|6|7|||*
55|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer grosseri var. hersii||G|||||
56|Sow at 4C for 3 months, then place @ 20C for 3 months.     * remove inner seed coat after 4C cycle|Acer japonicum||G|||||*
57|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Acer japonicum \'Aconitifolium\'||L|||||
58|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Acer japonicum f. \'Aconitifolium\'||L|||||
59|Sow at 4C for 3 months, then place @ 20C for 3 months.     * remove inner seed coat after 4C cycle, may take 3 years to germinate|Acer japonicum var. dissectum||G|||||*
60|Sow at 4C for 3 months, then place @ 20C for 3 months. Requires light or the seed is very fine. Surface sow and expose to light. Requires scarification. Nick or rub between sheets of sandpaper. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating.  * soak 3 weeks in water to remove outer seed coat or pry it off, then slice off small portion of inner seed coat with razor|Acer mandshuricum||G|3|6|7||*
61|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum||G|||||
62|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum  \'Dissectum\'||G|||||
63|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Dissectum Viridis\'||G|||||
64|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Emperor I\'||G|||||
65|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Koto Ito\'||G|||||
66|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Linearilobum\'||G|||||
67|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Osakazuki\'||G|||||
68|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Red Pygmy\'||G|||||
69|Sow at 4C for 3 months, then place @ 20C for 3 months.|Acer palmatum \'Shigi-tatsu-sawa\'||G|||||
